--bus section
i, v, theta
96, 0, -0.172756
97, 0, -0.172464
98, 0, -0.0309341
99, 0, -0.0309341
100, 0, -0.165069
101, 0, -0.0311821
102, 0, -0.0853304
103, 0, -0.0244687
104, 0, -0.0686739
105, 0, -0.0791597
106, 0, -0.0789916
107, 0, 0.0238738
108, 0, 0.0230809
109, 0, 0.021111
110, 0, -0.0221478
111, 0, 0.0142414
112, 0, -0.172203
113, 0, -0.185572
114, 0, -0.177817
115, 0, -0.177632
116, 0, -0.177534
117, 0, 0.0333976
118, 0, -0.0164687
119, 0, -0.0141834
120, 0, -0.0083666
121, 0, 0.0353888
122, 0, 0.131245
123, 0, 0.118669
124, 0, 0.131152
125, 0, 0.108057
126, 0, 0.087904
127, 0, 0.00893965
128, 0, -0.00343599
129, 0, -0.00357943
130, 0, 0.0485937
131, 0, 0.0432935
132, 0, 0.116038
133, 0, -0.0161256
134, 0, 0.200643
135, 0, 0.144392
136, 0, 0.200084
137, 0, 0.0826937
138, 0, 0.12899
139, 0, 0.122095
140, 0, 0.102528
141, 0, 0.14765
142, 0, 0.145154
143, 0, 0.0840152
144, 0, 0.150172
145, 0, 0.0898371
146, 0, 0.089609
147, 0, 0.0958864
148, 0, 0.0652704
149, 0, 0.126657
150, 0, 0.0539297
151, 0, 0.0797957
152, 0, 0.0393668
153, 0, 0.137487
154, 0, 0.0789353
155, 0, 0.0759331
156, 0, 0.0757576
157, 0, 0.0749757
158, 0, 0.0315047
159, 0, 0.0643929
160, 0, 0.0549338
161, 0, 0.0553419
162, 0, 0.0545703
163, 0, 0.0543731
164, 0, -0.102737
165, 0, -0.0399041
166, 0, -0.0404699
167, 0, -0.0937478
168, 0, -0.0400587
169, 0, -0.123396
170, 0, -0.123231
171, 0, -0.102027
172, 0, -0.100895
173, 0, -0.292187
174, 0, -0.278502
175, 0, -0.272525
176, 0, -0.278586
177, 0, -0.278545
178, 0, -0.218875
179, 0, -0.218992
180, 0, -0.211885
181, 0, -0.316215
182, 0, -0.223613
183, 0, -0.179775
184, 0, -0.224911
185, 0, -0.118106
186, 0, -0.0443534
187, 0, -0.0815503
188, 0, -0.0433538
189, 0, -0.0696515
190, 0, -0.0771343
191, 0, -0.0895862
192, 0, -0.0769628
193, 0, -0.0713349
194, 0, -0.13464
195, 0, -0.0874608
196, 0, -0.0872827
197, 0, -0.0651121
198, 0, -0.0597685
199, 0, -0.0258437
200, 0, -0.0643085
201, 0, 0.0465469
202, 0, 0.0465469
203, 0, 0.00721709
204, 0, 0.0163557
205, 0, 0.0100873
206, 0, 0.00781466
207, 0, -0.133263
208, 0, -0.100863
209, 0, -0.0518877
210, 0, -0.110582
211, 0, 0.0404489
212, 0, -0.0403447
213, 0, -0.0631086
214, 0, -0.0118746
215, 0, -0.0117791
216, 0, 0.00277478
217, 0, -0.0460522
218, 0, 0.00241782
219, 0, -0.0658013
220, 0, -0.0947879
221, 0, -0.0927215
222, 0, -0.0933037
223, 0, -0.0920459
224, 0, -0.0922524
225, 0, -0.0931287
226, 0, -0.0934711
227, 0, -0.0934763
228, 0, -0.0939081
229, 0, -0.1458
230, 0, -0.0332763
231, 0, -0.0877391
232, 0, -0.0338807
233, 0, -0.0248082
234, 0, -0.027017
235, 0, -0.0836895
236, 0, -0.02547
237, 0, -0.0973918
238, 0, -0.100537
239, 0, -0.102306
240, 0, -0.0824497
241, 0, -0.0944038
242, 0, 0.0062187
243, 0, 0.0096959
244, 0, 0.0154685
245, 0, 0.0266063
246, 0, -0.00184094
247, 0, -0.00300535
248, 0, 0.0451212
249, 0, -0.021176
250, 0, -0.00569906
251, 0, 0.0085662
252, 0, -0.000120463
253, 0, 0.00426841
254, 0, 0.00668156
255, 0, 0.00478477
256, 0, 0.00305323
257, 0, 0.0206299
258, 0, 0.0786222
259, 0, 0.0268593
260, 0, 0.0783541
261, 0, 0.0257648
262, 0, 0.0303708
263, 0, 0.0715205
264, 0, 0.0533608
265, 0, 0.056466
266, 0, -0.0289413
267, 0, -0.00451871
268, 0, 0.0637722
269, 0, 0.0108471
270, 0, 0.0379273
271, 0, 0.0196077
272, 0, -0.310324
273, 0, -0.320169
274, 0, -0.320195
275, 0, -0.321957
276, 0, -0.310775
277, 0, -0.172078
278, 0, -0.172028
279, 0, -0.290933
280, 0, -0.318995
281, 0, -0.288605
282, 0, -0.297301
283, 0, -0.296752
284, 0, -0.296611
285, 0, -0.0942816
286, 0, -0.0775788
287, 0, -0.0923604
288, 0, -0.0925652
289, 0, -0.0818258
290, 0, -0.328889
291, 0, -0.303909
292, 0, -0.0660955
293, 0, -0.0702193
294, 0, -0.0503943
295, 0, -0.0962936
296, 0, -0.0963657
297, 0, -0.0992192
298, 0, -0.0973844
299, 0, -0.10348
300, 0, -0.141623
301, 0, -0.0987791
302, 0, -0.161482
303, 0, -0.168566
304, 0, -0.104738
305, 0, -0.111972
306, 0, -0.117125
307, 0, -0.160421
308, 0, -0.114223
309, 0, -0.178694
310, 0, -0.177395
311, 0, -0.177508
312, 0, -0.283351
313, 0, -0.0948899
314, 0, -0.112037
315, 0, -0.0984273
316, 0, -0.112199
317, 0, -0.0974039
318, 0, -0.3591
319, 0, -0.361012
320, 0, -0.107311
321, 0, -0.350193
322, 0, -0.0959988
323, 0, -0.157071
324, 0, -0.176666
325, 0, -0.163092
326, 0, -0.163374
327, 0, -0.156235
328, 0, -0.156395
329, 0, -0.324542
330, 0, -0.140101
331, 0, -0.151165
332, 0, -0.150312
333, 0, -0.150177
334, 0, -0.165352
335, 0, -0.167765
336, 0, -0.349538
337, 0, -0.0408786
338, 0, -0.0397348
339, 0, -0.0396777
340, 0, -0.067359
341, 0, -0.0672431
342, 0, -0.154008
343, 0, -0.154316
344, 0, -0.158859
345, 0, -0.0935365
346, 0, -0.118528
347, 0, -0.0938389
348, 0, -0.156873
349, 0, -0.142064
350, 0, -0.131237
351, 0, -0.131092
352, 0, -0.0617645
353, 0, -0.156904
354, 0, -0.151082
355, 0, -0.118218
356, 0, -0.0805635
357, 0, -0.0647189
358, 0, -0.0645869
359, 0, -0.168085
360, 0, -0.078938
361, 0, -0.102199
362, 0, -0.166215
363, 0, -0.166549
364, 0, -0.162587
365, 0, -0.171333
366, 0, -0.171692
367, 0, -0.172425
368, 0, -0.164953
369, 0, -0.166718
370, 0, -0.165806
371, 0, -0.17302
372, 0, -0.166297
373, 0, -0.184692
374, 0, -0.16429
375, 0, -0.151802
376, 0, -0.269023
377, 0, -0.269124
378, 0, -0.15817
379, 0, -0.251218
380, 0, -0.156829
381, 0, -0.167864
382, 0, -0.155125
383, 0, -0.154806
384, 0, -0.161418
385, 0, -0.162203
386, 0, -0.113949
387, 0, -0.151815
388, 0, -0.172613
389, 0, -0.172014
390, 0, -0.181323
391, 0, -0.180589
392, 0, -0.159882
393, 0, -0.189905
394, 0, -0.118098
395, 0, -0.157947
396, 0, -0.157718
397, 0, -0.11694
398, 0, -0.172814
399, 0, -0.17303
400, 0, -0.16284
401, 0, -0.182577
402, 0, -0.165618
403, 0, -0.148176
404, 0, -0.163591
405, 0, -0.163248
406, 0, -0.157976
407, 0, -0.163097
408, 0, -0.157554
409, 0, -0.170758
410, 0, -0.178094
411, 0, -0.183082
412, 0, -0.175526
413, 0, -0.115663
414, 0, -0.177582
415, 0, -0.106544
416, 0, -0.145891
417, 0, -0.106852
418, 0, -0.185527
419, 0, -0.159658
420, 0, -0.159296
421, 0, -0.20539
422, 0, -0.206567
423, 0, -0.174716
424, 0, -0.177517
425, 0, -0.181205
426, 0, -0.178976
427, 0, -0.178614
428, 0, -0.184856
429, 0, -0.196153
430, 0, -0.205929
431, 0, -0.205929
432, 0, -0.165166
433, 0, -0.121845
434, 0, -0.17602
435, 0, -0.119847
436, 0, -0.164174
437, 0, -0.174411
438, 0, -0.173456
439, 0, -0.179866
440, 0, -0.178977
441, 0, -0.153664
442, 0, -0.160207
443, 0, -0.155978
444, 0, -0.168388
445, 0, -0.184219
446, 0, -0.119537
447, 0, -0.148079
448, 0, -0.147018
449, 0, -0.115911
450, 0, -0.155934
451, 0, -0.114532
452, 0, -0.160129
453, 0, -0.113819
454, 0, -0.163604
455, 0, -0.149172
456, 0, -0.14934
457, 0, -0.159293
458, 0, -0.149108
459, 0, -0.0677234
460, 0, -0.0497746
461, 0, -0.0746223
462, 0, -0.0929374
463, 0, -0.0047634
464, 0, -0.0965899
465, 0, -0.118603
466, 0, -0.0786687
467, 0, -0.0611241
468, 0, 0.158079
469, 0, -0.0929856
470, 0, -0.100319
471, 0, 0.0418582
472, 0, 0.121119
473, 0, 0.279258
474, 0, 0.276252
475, 0, 0.186961
476, 0, 0.326256
477, 0, 0.302729
478, 0, -0.0304807
479, 0, -0.0328944
480, 0, -0.0657518
481, 0, -0.0217326
482, 0, -0.0264427
483, 0, -0.0221947
484, 0, -0.0834156
485, 0, -0.0862409
486, 0, -0.150524
487, 0, -0.0572228
488, 0, -0.0592439
489, 0, -0.0910902
490, 0, 0.089689
491, 0, 0.0859073
492, 0, 0.0489347
493, 0, 0.109347
494, 0, 0.104526
495, 0, 0.114476
496, 0, 0.114621
497, 0, -0.0597544
498, 0, -0.0604023
499, 0, -0.0778636
500, 0, -0.0388111
501, 0, -0.0407508
502, 0, -0.0436222
503, 0, -0.0606904
504, 0, 0.0236289
505, 0, 0.0222047
506, 0, -0.0313161
507, 0, 0.039752
508, 0, 0.0346571
509, 0, 0.0106784
510, 0, 0.0111113
511, 0, -0.0370838
512, 0, 0.00816612
513, 0, -0.106726
514, 0, -0.108125
515, 0, -0.151119
516, 0, -0.105461
517, 0, -0.0749868
518, 0, -0.0776026
519, 0, -0.108941
520, 0, -0.0563841
521, 0, -0.0549043
522, 0, -0.0542419
523, 0, -0.151832
524, 0, 0.0471528
525, 0, 0.0459246
526, 0, 0.00176488
527, 0, 0.0721563
528, 0, 0.0639469
529, 0, 0.0650334
530, 0, 0.0455131
531, 0, 0.0793961
532, 0, 0.0798745
533, 0, 0.0786903
534, 0, 0.0125272
535, 0, -0.117501
536, 0, -0.117458
537, 0, -0.157478
538, 0, -0.156671
539, 0, -0.115036
540, 0, -0.106383
541, 0, -0.147235
542, 0, -0.0425695
543, 0, -0.0708056
544, 0, 0.028128
545, 0, 0.321664
546, 0, 0.31974
547, 0, 0.278355
548, 0, 0.333137
549, 0, 0.355456
550, 0, 0.103856
551, 0, 0.102984
552, 0, 0.103498
553, 0, 0.02986
554, 0, 0.120023
555, 0, 0.105117
556, 0, 0.0801515
557, 0, 0.0798827
558, 0, 0.0468168
559, 0, 0.0853062
560, 0, 0.0800664
561, 0, 0.132605
562, 0, 0.132633
563, 0, 0.00181813
564, 0, -0.000245777
565, 0, 0.0352723
566, 0, 0.0224755
567, 0, -0.0507199
568, 0, -0.0861169
569, 0, -0.0500464
570, 0, 0.318838
571, 0, 0.314839
572, 0, 0.254749
573, 0, 0.334907
574, 0, 0.347552
575, 0, 0.343641
576, 0, 0.348891
577, 0, 0.345212
578, 0, 0.346559
579, 0, 0.166768
580, 0, 0.163378
581, 0, 0.133399
582, 0, 0.176579
583, 0, 0.183354
584, 0, 0.167092
585, 0, 0.167455
586, 0, -0.145991
587, 0, -0.147044
588, 0, -0.0756423
589, 0, -0.0357008
590, 0, -0.0635962
591, 0, -0.0345917
592, 0, -0.0775965
593, 0, 0.167913
594, 0, 0.168097
595, 0, 0.0690083
596, 0, 0.191005
597, 0, 0.193786
598, 0, -0.149313
599, 0, -0.149541
600, 0, 0.17053
601, 0, 0.168353
602, 0, 0.13812
603, 0, 0.206215
604, 0, 0.188943
605, 0, 0.186721
606, 0, 0.144483
607, 0, 0.215766
608, 0, 0.242617
609, 0, -0.0194905
610, 0, -0.0207992
611, 0, -0.0803797
612, 0, 0.0198425
613, 0, -0.0212807
614, 0, 0.0394986
615, 0, 0.0724644
616, 0, 0.0373841
617, 0, -0.0849824
--load section
i, id, t
472, 1, 0.5
468, 1, 0.5
464, 1, 0.5
458, 1, 0.5
452, 1, 0.5
438, 1, 0.5
429, 1, 0.5
428, 1, 0.5
422, 1, 0.5
421, 1, 0.5
417, 1, 0.5
409, 1, 0.5
408, 1, 0.5
407, 1, 0.5
406, 1, 0.5
404, 1, 0.5
403, 1, 0.5
402, 1, 0.5
401, 1, 0.5
400, 1, 0.5
399, 1, 0.5
398, 1, 0.5
395, 1, 0.5
393, 1, 0.5
392, 1, 0.5
390, 1, 0.5
388, 1, 0.5
387, 1, 0.5
385, 1, 0.5
382, 1, 0.5
381, 1, 0.5
379, 1, 0.5
377, 1, 0.5
375, 1, 0.5
374, 1, 0.5
373, 1, 0.5
372, 1, 0.5
371, 1, 0.5
370, 1, 0.5
369, 1, 0.5
368, 1, 0.5
367, 1, 0.5
366, 1, 0.5
364, 1, 0.5
362, 1, 0.5
359, 1, 0.5
357, 1, 0.5
356, 1, 0.5
355, 1, 0.5
354, 1, 0.5
353, 1, 0.5
352, 1, 0.5
350, 1, 0.5
349, 1, 0.5
348, 1, 0.5
347, 1, 0.5
344, 1, 0.5
343, 1, 0.5
340, 1, 0.5
338, 1, 0.5
337, 1, 0.5
336, 1, 0.5
335, 1, 0.5
334, 1, 0.5
332, 1, 0.5
331, 1, 0.5
330, 1, 0.5
329, 1, 0.5
328, 1, 0.5
326, 1, 0.5
325, 1, 0.5
324, 1, 0.5
323, 1, 0.5
321, 1, 0.5
319, 1, 0.5
318, 1, 0.5
317, 1, 0.5
316, 1, 0.5
315, 1, 0.5
313, 1, 0.5
312, 1, 0.5
311, 1, 0.5
309, 1, 0.5
308, 1, 0.5
307, 1, 0.5
306, 1, 0.5
305, 1, 0.5
304, 1, 0.5
303, 1, 0.5
302, 1, 0.5
301, 1, 0.5
297, 1, 0.5
296, 1, 0.5
294, 1, 0.5
293, 1, 0.5
292, 1, 0.5
291, 1, 0.5
290, 1, 0.5
289, 1, 0.5
288, 1, 0.5
286, 1, 0.5
285, 1, 0.5
283, 1, 0.5
282, 1, 0.5
281, 1, 0.5
280, 1, 0.5
279, 1, 0.5
276, 1, 0.5
275, 1, 0.5
126, 1, 0.5
119, 1, 0.5
117, 1, 0.5
116, 1, 0.5
110, 1, 0.5
109, 1, 0.5
105, 1, 0.5
101, 1, 0.5
96, 1, 0.5
95, 1, 0.5
94, 1, 0.5
93, 1, 0.5
91, 1, 0.5
90, 1, 0.5
88, 1, 0.5
87, 1, 0.5
82, 1, 0.5
81, 1, 0.5
80, 1, 0.5
79, 1, 0.5
78, 1, 0.5
77, 1, 0.5
76, 1, 0.5
75, 1, 0.5
74, 1, 0.5
273, 1, 0.5
73, 1, 0.5
272, 1, 0.5
72, 1, 0.5
271, 1, 0.5
70, 1, 0.5
269, 1, 0.5
69, 1, 0.5
68, 1, 0.5
267, 1, 0.5
67, 1, 0.5
266, 1, 0.5
66, 1, 0.5
265, 1, 0.5
440, 1, 0.5
31, 1, 0.5
124, 1, 0.5
436, 1, 0.5
27, 1, 0.5
226, 1, 0.5
120, 1, 0.5
432, 1, 0.5
23, 1, 0.5
222, 1, 0.5
118, 1, 0.5
21, 1, 0.5
220, 1, 0.5
114, 1, 0.5
426, 1, 0.5
17, 1, 0.5
64, 1, 0.5
113, 1, 0.5
425, 1, 0.5
16, 1, 0.5
112, 1, 0.5
424, 1, 0.5
15, 1, 0.5
214, 1, 0.5
471, 1, 0.5
62, 1, 0.5
261, 1, 0.5
121, 1, 0.5
24, 1, 0.5
410, 1, 0.5
1, 1, 0.5
200, 1, 0.5
457, 1, 0.5
48, 1, 0.5
247, 1, 0.5
434, 1, 0.5
25, 1, 0.5
224, 1, 0.5
411, 1, 0.5
2, 1, 0.5
26, 1, 0.5
412, 1, 0.5
3, 1, 0.5
459, 1, 0.5
50, 1, 0.5
249, 1, 0.5
111, 1, 0.5
423, 1, 0.5
14, 1, 0.5
213, 1, 0.5
470, 1, 0.5
61, 1, 0.5
260, 1, 0.5
125, 1, 0.5
437, 1, 0.5
28, 1, 0.5
102, 1, 0.5
414, 1, 0.5
5, 1, 0.5
204, 1, 0.5
6, 1, 0.5
205, 1, 0.5
462, 1, 0.5
53, 1, 0.5
252, 1, 0.5
127, 1, 0.5
439, 1, 0.5
30, 1, 0.5
229, 1, 0.5
104, 1, 0.5
7, 1, 0.5
206, 1, 0.5
463, 1, 0.5
54, 1, 0.5
253, 1, 0.5
418, 1, 0.5
9, 1, 0.5
208, 1, 0.5
465, 1, 0.5
56, 1, 0.5
255, 1, 0.5
107, 1, 0.5
419, 1, 0.5
10, 1, 0.5
466, 1, 0.5
57, 1, 0.5
256, 1, 0.5
108, 1, 0.5
11, 1, 0.5
210, 1, 0.5
467, 1, 0.5
58, 1, 0.5
257, 1, 0.5
129, 1, 0.5
441, 1, 0.5
32, 1, 0.5
130, 1, 0.5
442, 1, 0.5
33, 1, 0.5
232, 1, 0.5
131, 1, 0.5
443, 1, 0.5
34, 1, 0.5
132, 1, 0.5
444, 1, 0.5
35, 1, 0.5
445, 1, 0.5
36, 1, 0.5
447, 1, 0.5
38, 1, 0.5
237, 1, 0.5
39, 1, 0.5
238, 1, 0.5
450, 1, 0.5
41, 1, 0.5
240, 1, 0.5
42, 1, 0.5
241, 1, 0.5
44, 1, 0.5
243, 1, 0.5
454, 1, 0.5
45, 1, 0.5
244, 1, 0.5
46, 1, 0.5
245, 1, 0.5
460, 1, 0.5
51, 1, 0.5
250, 1, 0.5
469, 1, 0.5
60, 1, 0.5
259, 1, 0.5
133, 1, 0.5
136, 1, 0.5
137, 1, 0.5
138, 1, 0.5
139, 1, 0.5
140, 1, 0.5
143, 1, 0.5
146, 1, 0.5
147, 1, 0.5
148, 1, 0.5
150, 1, 0.5
151, 1, 0.5
152, 1, 0.5
154, 1, 0.5
156, 1, 0.5
157, 1, 0.5
158, 1, 0.5
159, 1, 0.5
160, 1, 0.5
161, 1, 0.5
163, 1, 0.5
164, 1, 0.5
167, 1, 0.5
169, 1, 0.5
171, 1, 0.5
172, 1, 0.5
173, 1, 0.5
176, 1, 0.5
179, 1, 0.5
180, 1, 0.5
181, 1, 0.5
182, 1, 0.5
183, 1, 0.5
184, 1, 0.5
185, 1, 0.5
187, 1, 0.5
189, 1, 0.5
190, 1, 0.5
191, 1, 0.5
192, 1, 0.5
193, 1, 0.5
194, 1, 0.5
195, 1, 0.5
197, 1, 0.5
198, 1, 0.5
199, 1, 0.5
203, 1, 0.5
207, 1, 0.5
212, 1, 0.5
218, 1, 0.5
219, 1, 0.5
221, 1, 0.5
228, 1, 0.5
236, 1, 0.5
239, 1, 0.5
242, 1, 0.5
246, 1, 0.5
248, 1, 0.5
251, 1, 0.5
254, 1, 0.5
262, 1, 0.5
264, 1, 0.5
270, 1, 0.5
--generator section
i, id, p, q, x
615, 1, 4.35077, 4.03906, 0.131983
608, 1, 13.1627, 9.04934, 0.55633
603, 1, 10.5637, -2.87179, 0.829452
596, 1, 1.84504, -0.392243, 0.302566
589, 1, 2.218, 1.37066, 0.66778
586, 1, 6.12011, -6.96699, 0.528895
583, 1, 7.11976, 7.84975, 0.434194
582, 1, 2.93288, -9.84715, 0.545177
577, 1, 9.87639, -9.55796, 0.488452
576, 1, 7.06665, 2.85221, 0.322631
575, 1, 5.01508, 1.37246, 0.754633
617, 1, 8.66728, -3.28473, 0.948436
520, 1, 2.17726, 3.33182, 0.12592
567, 1, 6.03786, 4.61692, 0.287777
612, 1, 3.35269, -1.53041, 0.627378
515, 1, 5.37994, -8.09531, 0.824972
562, 2, 7.42453, -1.30448, 0.0144322
514, 1, 4.10961, 4.58172, 0.305216
561, 1, 9.91932, -6.8179, 0.0105997
513, 1, 6.03564, -4.38499, 0.789583
509, 1, 8.45259, -9.95055, 0.404021
508, 1, 7.54005, -2.08851, 0.734364
507, 1, 6.31826, -8.31803, 0.10611
554, 1, 3.85137, 3.78765, 0.960849
502, 1, 5.20318, -5.04101, 0.704156
549, 1, 8.01177, 8.23899, 0.366901
598, 1, 10.4895, -9.01072, 0.818981
501, 1, 1.67418, -0.45285, 0.723427
548, 1, 11.1415, -1.28571, 0.965055
496, 1, 9.91077, 6.31759, 0.294583
543, 1, 11.2723, 5.87496, 0.406813
523, 1, 7.60148, 4.60682, 0.976518
607, 1, 8.42802, 7.3998, 0.875274
510, 1, 7.43248, -4.69193, 0.654127
487, 1, 6.03952, -0.26155, 0.857234
597, 1, 9.55705, -7.44122, 0.749694
500, 1, 4.90811, -1.70693, 0.0866656
574, 1, 3.48488, -5.2703, 0.0914568
477, 1, 4.1088, -2.6099, 0.0605365
488, 1, 6.10592, -5.7076, 0.379189
578, 1, 2.11891, 0.985185, 0.661616
481, 1, 3.74454, -6.3785, 0.105661
528, 1, 9.16051, 0.372082, 0.668624
579, 1, 8.44431, -9.87066, 0.103065
482, 1, 1.45634, 7.78529, 0.153226
529, 1, 3.79681, 0.081559, 0.382277
590, 1, 9.22143, 3.65908, 0.121441
493, 1, 2.92186, 1.93437, 0.652419
483, 1, 3.22427, -4.29761, 0.0982121
591, 1, 4.30879, -6.52332, 0.826387
494, 1, 8.86821, -4.70401, 0.413031
495, 1, 3.52777, 2.88616, 0.84149
542, 1, 6.75841, -0.000431554, 0.236575
521, 1, 7.04804, -3.0544, 0.357271
568, 1, 8.44914, -4.1798, 0.0124272
522, 1, 10.1965, 2.00762, 0.14843
527, 1, 5.89258, 7.96103, 0.424067
531, 1, 9.15874, -8.62058, 0.0546035
533, 1, 4.64732, -5.69036, 0.966173
536, 1, 7.13816, 7.01415, 0.140327
537, 1, 0.106139, 4.63665, 0.216437
538, 3, 1.8186, 3.18185, 0.956421
544, 1, 4.21907, 3.78612, 0.621797
559, 1, 3.25546, 2.40144, 0.343434
566, 1, 9.22394, -4.9708, 0.362021
476, 1, 14.3612, -7.56406, 0.534273
573, 1, 6.98796, 5.74091, 0.922699
--line section
iorig, idest, id, x
616, 108, 1, 0
614, 616, 1, 0
611, 470, 1, 0
609, 165, 1, 0
605, 555, 1, 0
604, 550, 1, 0
602, 132, 1, 0
601, 600, 1, 0
600, 585, 1, 0
595, 111, 1, 0
593, 524, 1, 0
588, 592, 1, 0
586, 587, 1, 0
580, 153, 1, 0
580, 122, 1, 0
579, 584, 1, 0
570, 545, 1, 0
563, 531, 1, 0
562, 581, 1, 0
561, 562, 1, 0
557, 560, 1, 0
552, 555, 1, 0
552, 550, 1, 0
551, 552, 1, 0
551, 490, 1, 0
595, 130, 1, 0
546, 571, 1, 0
546, 545, 1, 0
541, 587, 1, 0
541, 403, 1, 0
540, 539, 1, 0
540, 489, 1, 0
539, 489, 1, 0
599, 354, 1, 0
539, 413, 1, 0
538, 423, 1, 0
601, 134, 1, 0
538, 392, 1, 0
535, 539, 1, 0
532, 533, 1, 0
532, 490, 1, 0
526, 52, 1, 0
525, 530, 1, 0
523, 599, 1, 0
518, 517, 1, 0
516, 298, 1, 0
514, 397, 1, 0
513, 516, 1, 0
510, 512, 1, 0
505, 504, 1, 0
504, 556, 1, 0
504, 233, 1, 0
499, 592, 1, 0
498, 503, 1, 0
498, 497, 1, 0
491, 560, 1, 0
490, 550, 1, 0
485, 484, 1, 0
474, 473, 1, 0
533, 531, 1, 0
473, 604, 1, 0
473, 545, 1, 0
472, 606, 1, 0
471, 595, 1, 0
470, 76, 1, 0
469, 611, 1, 0
605, 474, 1, 0
523, 307, 1, 0
469, 183, 1, 0
466, 469, 1, 0
464, 592, 1, 0
463, 460, 1, 0
461, 503, 1, 0
459, 592, 1, 0
456, 447, 1, 0
454, 457, 1, 0
453, 413, 1, 0
451, 453, 1, 0
455, 456, 1, 0
450, 443, 1, 0
449, 540, 1, 0
447, 450, 1, 0
447, 448, 1, 0
447, 368, 1, 0
445, 439, 1, 0
444, 368, 1, 0
441, 456, 1, 0
437, 409, 1, 0
437, 310, 1, 0
535, 536, 1, 0
436, 396, 1, 0
435, 539, 1, 0
434, 393, 1, 0
592, 286, 1, 0
430, 431, 1, 0
430, 422, 1, 0
428, 418, 1, 0
427, 440, 1, 0
426, 427, 1, 0
423, 434, 1, 0
421, 430, 1, 0
421, 422, 1, 0
420, 432, 1, 0
418, 411, 1, 0
415, 417, 1, 0
414, 439, 1, 0
414, 401, 1, 0
486, 523, 1, 0
413, 397, 1, 0
410, 437, 1, 0
405, 381, 1, 0
400, 406, 1, 0
399, 537, 1, 0
397, 435, 1, 0
478, 509, 1, 0
395, 436, 1, 0
394, 397, 1, 0
393, 422, 1, 0
392, 537, 1, 0
392, 424, 1, 0
572, 24, 1, 0
392, 412, 1, 0
406, 541, 1, 0
391, 434, 1, 0
512, 479, 1, 0
391, 424, 1, 0
453, 540, 1, 0
390, 391, 1, 0
534, 254, 1, 0
442, 364, 1, 0
389, 402, 1, 0
446, 449, 1, 0
388, 389, 1, 0
395, 396, 1, 0
387, 450, 1, 0
387, 384, 1, 0
386, 453, 1, 0
386, 449, 1, 0
384, 385, 1, 0
383, 443, 1, 0
569, 345, 1, 0
383, 384, 1, 0
380, 435, 1, 0
553, 245, 1, 0
489, 518, 1, 0
378, 380, 1, 0
491, 268, 1, 0
375, 427, 1, 0
460, 459, 1, 0
409, 515, 1, 0
374, 387, 1, 0
465, 458, 1, 0
372, 444, 1, 0
372, 374, 1, 0
371, 367, 1, 0
447, 455, 1, 0
371, 365, 1, 0
550, 551, 1, 0
370, 387, 1, 0
429, 428, 1, 0
369, 405, 1, 0
455, 441, 1, 0
369, 372, 1, 0
365, 366, 1, 0
364, 587, 1, 0
397, 539, 1, 0
364, 371, 1, 0
419, 420, 1, 0
362, 363, 1, 0
362, 335, 1, 0
361, 360, 1, 0
361, 322, 1, 0
411, 389, 1, 0
